,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,elo_scores_10_listwise,elo_scores_5nano_24,label_10_listwise,label_5nano_24,elo_5nano_distance,elo_10_distance,label_5nano_binary,label_10_binary,baseline_labels,baseline_severity,baseline_elo,bt_10listwise_4rounds,bt_10listwise_6rounds,bt_10listwise_10rounds_k64,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32,bt_10listwise_4rounds_elo,bt_10listwise_6rounds_elo,bt_10listwise_10rounds_k64_elo,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32_elo,fleiss_kappa,bt_10listwise_4rounds_elo_label,bt_10listwise_6rounds_elo_label,bt_10listwise_10rounds_k64_elo_label,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32_elo_label,BT_listwise_pred_label_EM,label_bias_lower,BT_5nano24r_pred_label_EM
10,10,10,10,10,‘Gangster capitalist’ Trump is running a ‘mafia state’ — and things are about to get worse: Pulitzer Prize-winning journalist,https://www.alternet.org/2020/07/gangster-capitalist-trump-is-running-a-mafia-state-and-things-are-about-to-get-worse-pulitzer-prize-winning-journalist/,Alternet,black lives matter,left,Biased,Somewhat factual but also opinionated,"['Gangster', 'mafia', 'state', 'capitalist']",1951.0301837424688,1645.6333747805306,biased,biased,145.63337478053063,451.0301837424688,biased,biased,yes,0.75,1874.0,9.421293779974274,7.407955537479657,7.669521691685227,10.072038349954845,3136.6463604129026,2786.893684844821,2832.3323798144747,3249.6922707613294,1.0,biased,biased,biased,biased,biased,biased,biased
11,11,11,11,11,‘The most progressive president since FDR’: Biden's policy proposals reveal a pleasant surprise,https://feeds.feedblitz.com/~/629983109/0/alternet_all~%e2%80%98The-most-progressive-president-since-FDR%e2%80%99-Biden%e2%80%99s-policy-proposals-reveal-a-pleasant-surprise/,Alternet,universal health care,left,Non-biased,Expresses writer’s opinion,['pleasant'],1534.6594565350133,1522.045513884908,biased,biased,22.045513884907905,34.659456535013305,biased,biased,yes,0.65,1824.0,1.8839518867957912,1.5112338395785254,1.381696375990738,1.827689473440497,1827.2759634426527,1762.528206957767,1740.0252447033993,1817.502181179147,-0.200473712511822,biased,biased,biased,biased,non-biased,non-biased,non-biased
12,12,12,12,12,"‘Woke’ is not a dirty word but a moral duty, says a senior BBC editor, defending the corporation’s decision to ‘repurpose’ classic novels by giving them more black, female and Asian characters even when this is historically inaccurate.",https://www.breitbart.com/europe/2020/02/25/going-woke-is-a-moral-duty-claims-bbc-head-of-drama/,Breitbart,marriage-equality,,Non-biased,Entirely factual,[],1568.527428243662,1519.6829612112963,biased,biased,19.682961211296288,68.52742824366214,biased,biased,yes,0.75,1874.0,0.5550615861032977,1.3794685760295988,2.290089016919968,2.6640899562465314,1596.4240735844514,1739.6382362114364,1897.8292092462336,1962.7998269166976,1.0,biased,biased,biased,biased,biased,non-biased,non-biased
13,13,13,13,13,“Harry Potter” author J.K. Rowling said on Monday she had recovered from a suspected case of COVID-19 after two weeks of illness.,https://www.reuters.com/article/us-health-coronavirus-jkrowling/harry-potter-author-j-k-rowling-says-fully-recovered-from-likely-coronavirus-idUSKBN21O2KU?feedType=RSS&feedName=peopleNews,Reuters,blm,,Non-biased,Entirely factual,[],1149.460753355496,1265.8984112812216,non-biased,non-biased,234.10158871877843,350.53924664450415,non-biased,non-biased,no,0.0,1499.0,-7.436355141696115,-6.131696634869808,-5.9375263897129145,-11.96614068866834,208.1727985954012,434.8151947085216,468.5460211170978,-578.731548306655,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
14,14,14,14,14,"“He won because the Election was Rigged,” Trump wrote, not referring to Biden by name, adding a list of complaints about vote counting.",https://www.reuters.com/article/us-usa-election/trump-concedes-nothing-on-election-biden-team-to-meet-vaccine-makers-idUSKBN27V04W,Reuters,vaccine,,Non-biased,Entirely factual,[],1323.2693797630036,1490.0644834786733,non-biased,non-biased,9.93551652132669,176.7306202369964,non-biased,non-biased,yes,0.35,1674.0,-1.5400914903235907,-0.8656391785868135,-0.4103628050337353,-1.8478251539979125,1232.4587056505236,1349.6230725681933,1428.7126792782035,1178.9998928386722,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
15,15,15,15,15,"“I would shut it down; I would listen to the scientists,” Biden told ABC News alongside his new vice presidential running mate, California Sen. Kamala Harris.",https://thefederalist.com/2020/08/22/biden-i-will-shut-down-nation-in-january-if-scientists-tell-me-to/,Federalist,vaccine,,Non-biased,Entirely factual,[],1302.8171143311931,1452.9345197696937,non-biased,non-biased,47.06548023030632,197.18288566880688,non-biased,non-biased,no,0.0,1499.0,-3.218484233780718,-3.174316461982688,-4.162169948547454,-7.281689302293835,940.8920228705674,948.564750698506,776.9570234409196,235.04100683193903,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
16,16,16,16,16,"“Mike Pence and the task force have done a great job,” Trump said during a visit to a mask factory in Arizona.",https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews,Reuters,vaccine,,Non-biased,Entirely factual,[],1469.8170486338413,1455.489560551565,non-biased,non-biased,44.51043944843491,30.182951366158704,non-biased,non-biased,yes,0.25,1624.0,0.2471029734990738,-1.6174651122840198,-0.6917691247829325,-5.4877170025932696,1542.926183141013,1219.0175308256107,1379.827394542292,546.685915010836,1.0,biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
17,17,17,17,17,"“She will be inheriting a government in crisis,” the post states, touting a plethora of false narratives routinely peddled by Trump’s critics.",https://www.breitbart.com/politics/2020/01/23/elizabeth-warren-vows-to-fill-half-her-cabinet-positions-with-women-and-non-binary-people/,Breitbart,marriage-equality,,Biased,Somewhat factual but also opinionated,[],1648.9283588539636,1553.1244202729972,biased,biased,53.12442027299721,148.92835885396357,biased,biased,yes,0.55,1774.0,3.2757904471383785,1.7068469784839264,2.5375412920369302,2.232178003901093,2069.063086025433,1796.509689683523,1940.8160722933148,1887.769035888024,1.0,biased,biased,biased,biased,biased,biased,non-biased
18,18,18,18,18,"“The goal is to send a message of peace,” the 22-year-old claimed. He insisted that the original idea was to show a man stealing inexpensive goods and showing a similar scenario to George Floyd’s death, with a police officer on the thief’s neck.",http://feedproxy.google.com/~r/breitbart/~3/KernUHEqyEk/,Breitbart,black lives matter,right,Non-biased,Somewhat factual but also opinionated,['claimed'],1333.682756256338,1491.9334828208189,non-biased,non-biased,8.066517179181119,166.31724374366195,non-biased,non-biased,no,0.0,1499.0,-3.033181768872797,-2.454404554553576,-3.39363691538096,-2.3530331349529097,973.0823580676,1073.6262582396691,910.4648856267504,1091.2362775017766,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
19,19,19,19,19,"“We can’t keep our country closed for the next five years,” Trump said, when asked why it was time to wind down the task force.",https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews,Reuters,vaccine,,Non-biased,Entirely factual,[],1449.4946476416414,1398.6644873712414,non-biased,non-biased,101.33551262875858,50.50535235835855,non-biased,non-biased,no,0.0,1499.0,-3.803224942348284,-2.7529599228783788,-3.582230935288397,-6.490579744526663,839.3121576405309,1021.7618786372474,877.7027487604497,372.4708130396209,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
20,20,20,20,20,"“You know, there’s over 100 million people with preexisting conditions,” he said, claiming, “They weren’t able to get insurance before; now they cannot be denied insurance.”",http://feedproxy.google.com/~r/breitbart/~3/hmjqwWAvPXQ/,Breitbart,universal health care,right,Biased,Somewhat factual but also opinionated,['claiming'],1356.4568666044229,1457.080572923646,non-biased,non-biased,42.91942707635394,143.54313339557734,non-biased,non-biased,no,0.0,1499.0,-3.4278608019530696,-3.751706552793036,-2.585045960900401,-4.743935003448218,904.5195875917306,848.2618185606855,1050.9315214858666,675.894082197902,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,biased,non-biased
21,21,21,21,21,23 people were arrested for offences including assaulting police officers at the Antifa and Black Lives Matter demonstrations in London on Sunday.,https://www.breitbart.com/europe/2020/06/01/23-arrested-london-black-lives-matter-protests-police-assaulted/,Breitbart,black lives matter,right,Non-biased,Entirely factual,[],1484.4121109900516,1462.8822764437691,non-biased,non-biased,37.117723556230885,15.587889009948412,non-biased,non-biased,no,0.0,1499.0,-3.1791337442704384,-3.0197136302199707,-2.339678186307668,-5.1551332130736345,947.72790305237,975.422013386972,1093.5562697028686,604.461636834376,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
22,22,22,22,22,"A 10-hour hearing broadcast on the court’s website showed Sun, China's greatest ever swimmer, and one of its biggest sports stars, to be evasive at times under questioning that was hampered by severe translation issues between Chinese and English.",https://www.foxnews.com/sports/olympic-swimming-sun-yang-banned-doping,Fox News,sport,right,Non-biased,Somewhat factual but also opinionated,[],1526.1406139879098,1467.5632157135592,biased,non-biased,32.4367842864408,26.140613987909774,non-biased,biased,no,0.0,1499.0,-3.333180239384688,-1.4812504428412712,-2.4137036131240697,-2.0900283203272565,920.967285938508,1242.680442542915,1080.69673594811,1136.9248933841402,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
23,23,23,23,23,"A 16-time NBA All Star who is considered one of the greatest basketball players of all time, James, 35, reacted angrily this week to the shooting of Blake in Kenosha, Wisconsin, which sparked days of civil unrest.",https://www.reuters.com/article/us-usa-election-james/nba-star-lebron-james-emerges-as-potent-political-force-ahead-of-november-u-s-election-idUSKBN25O1B10,Reuters,black lives matter,center,Non-biased,Entirely factual,[],1403.84546361614,1470.3956662615692,non-biased,non-biased,29.6043337384308,96.15453638385998,non-biased,non-biased,no,0.0,1499.0,-7.146328853759779,-3.183318221084743,-4.086556273615002,-3.152567584130028,258.5555251784549,947.000984976328,790.0924641527558,952.3429177541052,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
24,24,24,24,24,"A 24-year-old woman in Uganda, unable to travel due to coronavirus restrictions, was burned by her Muslim father for purportedly converting to Christianity, according to a persecution watchdog group.",https://www.foxnews.com/world/coronavirus-persecution-islam-christianity-conversion-uganda,Fox News,islam,,Non-biased,Entirely factual,[],1227.8253009979092,1557.0112966124946,non-biased,biased,57.01129661249456,272.17469900209085,biased,non-biased,yes,0.4,1699.0,-1.225190881776522,-2.170956803184694,-1.3131086658088729,0.8170344523706146,1287.1625443065109,1122.8661759706254,1271.8896609199462,1641.933421675761,1.0,non-biased,non-biased,non-biased,biased,non-biased,non-biased,non-biased
25,25,25,25,25,"A 60-foot chunk of the Ocean Cleanup device, deployed with much fanfare in the Great Pacific Garbage Patch in October, has broken off and the entire plastic collection system will now be towed back to port for an overhaul and upgrade.",https://eu.usatoday.com/story/news/2019/01/02/ocean-cleanup-device-great-pacific-garbage-patch-breaks/2465082002/,USA Today,environment,center,Non-biased,Entirely factual,['fanfare'],1153.4141491434884,1491.287241163679,non-biased,non-biased,8.712758836320972,346.5858508565116,non-biased,non-biased,no,0.05,1524.0,-4.275342481302692,-4.306817032948519,-4.77609586781307,-3.352001818304609,757.2969408494737,751.8292512094091,670.3071678271443,917.6976427922568,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
26,26,26,26,26,"A 70% majority of Americans view the economy as unfairly favoring those with power, and large majorities also say politicians, giant corporations, and wealthy individuals wield too much power over the economy, according to Pew Research Center.",https://www.alternet.org/2020/01/70-percent-of-americans-say-us-economic-system-unfairly-benefits-the-powerful/,Alternet,middle-class,left,Non-biased,Entirely factual,[],1338.812192310343,1467.725732017572,non-biased,non-biased,32.274267982428,161.1878076896567,non-biased,non-biased,no,0.0,1499.0,-1.487878630136108,-3.323746059908721,-3.2123202149975656,-3.6971038114883847,1241.5290084760477,922.606170773587,941.962822608116,857.7472862588457,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
27,27,27,27,27,A Biden victory would be a victory for radical anti-Americanism.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['radical', 'anti-Americanism']",1867.3123879703992,1569.1566053784118,biased,biased,69.15660537841177,367.3123879703992,biased,biased,yes,0.7,1849.0,7.802093665374827,6.708291961398559,5.90027121614372,7.685264658482078,2855.3624904658413,2665.3496727325346,2524.9820923615225,2835.0672132579384,1.0,biased,biased,biased,biased,biased,biased,biased
28,28,28,28,28,A Biden victory would be a victory for violence in the streets reinforced by an anti-police and pro-criminal bias.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['anti-police', 'pro-criminal']",1838.4026045669696,1652.873393556875,biased,biased,152.87339355687504,338.4026045669698,biased,biased,yes,0.8,1899.0,7.917205695752018,6.832833192177445,5.825123532923848,8.695766943001097,2875.359498303239,2686.9847004512185,2511.927602701441,3010.609439704834,1.0,biased,biased,biased,biased,biased,biased,biased
29,29,29,29,29,"A Biden victory would ensure government-imposed thought-police courses that are anti-history, anti-free thought, anti-White, and anti-male.",https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['anti-history', 'anti-free', 'anti-White', 'anti-male']",1893.1918275467551,1675.9810023393466,biased,biased,175.98100233934656,393.1918275467551,biased,biased,yes,0.92,1959.0,9.454458942277697,8.586721108687707,7.969451291165886,10.885529479972693,3142.4077392048234,2991.6662380580974,2884.435487820036,3391.010154298926,1.0,biased,biased,biased,biased,biased,biased,biased
30,30,30,30,30,A Biden victory would mean massive tax increases which would propel America into a depression.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,[],1632.4231042909723,1551.1962880333856,biased,biased,51.1962880333856,132.42310429097233,biased,biased,yes,0.8,1899.0,3.0014171924608264,3.203850648716516,3.896359111346452,4.60437532648284,2021.399569830115,2056.5658630318944,2176.866904628489,2299.861918761192,-0.200473712511822,biased,biased,biased,biased,biased,biased,biased
31,31,31,31,31,A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,https://www.nbcnews.com/feature/nbc-out/iowa-republicans-try-ax-transgender-protections-state-law-n1126426?cid=public-rss_20200130,MSNBC,gender,left,Non-biased,Entirely factual,[],1141.337350699288,1417.8113335508835,non-biased,non-biased,82.18866644911645,358.662649300712,non-biased,non-biased,no,0.0,1499.0,-3.6606863162792687,-5.606999220797264,-4.879189741882184,-7.538806774597817,864.0736531444686,525.9644713487662,652.3979275766465,190.3751270629264,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
32,32,32,32,32,"A bipartisan group of lawmakers in Mississippi this week began to draft a resolution to change the state’s flag, as calls have grown to remove the Confederate battle emblem, according to a report.",https://www.foxnews.com/politics/mississippi-lawmakers-drafting-resolution-to-remove-confederate-emblem-from-state-flag-report?fbclid=IwAR3pY02A9gmhojpn6_17OTiwadtQLyGdNG286BB6hE7IAAKRAF8cQ9D6Cxg,Fox News,marriage-equality,,Non-biased,Entirely factual,[],1408.8434883950072,1360.7364584216175,non-biased,non-biased,139.2635415783825,91.15651160499284,non-biased,non-biased,no,0.0,1499.0,-5.292444012181946,-4.565036666269439,-4.433721501517457,-8.279287313711864,580.6083078909897,706.9719064612665,729.7836870380673,61.740482225336336,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
33,33,33,33,33,"A Black man shot in the back by police in Kenosha, Wisconsin, was left paralyzed and “fighting for his life,” his family and lawyers said on Tuesday, hours before protesters and authorities clashed for a third night of civil unrest in the lakefront town.",https://www.reuters.com/article/us-global-race-usa-wisconsin/arsonists-set-fires-as-wisconsin-city-rages-anew-over-police-shooting-of-black-man-idUSKBN25L0Q9?utm_medium=Social&utm_source=twitter,Reuters,black lives matter,center,Non-biased,Entirely factual,[],1400.750820849837,1492.4516757614335,non-biased,non-biased,7.548324238566465,99.24917915016296,non-biased,non-biased,no,0.0,1499.0,-3.367929862960093,-1.7668451776637375,-2.856812959231589,-1.3119173905675376,914.9306580317026,1193.0675555853072,1003.7207583904084,1272.096606625442,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
34,34,34,34,34,"A Black man who was stopped on his bicycle for an alleged “vehicle code” violation was shot to death by two Los Angeles sheriff’s deputies, who fired 15 to 20 rounds after the man punched one officer and dropped a pistol on the ground, authorities said on Tuesday.",https://www.reuters.com/article/us-global-race-usa-los-angeles/l-a-sheriffs-deputies-fatally-shoot-black-man-after-suspected-bike-violation-idUSKBN25S606,Reuters,gun control,center,Non-biased,Entirely factual,[],1350.0160625229528,1522.6977167018515,non-biased,biased,22.69771670185173,149.98393747704722,biased,non-biased,no,0.0,1499.0,-3.8131414646186497,-3.0628915133468544,-2.598390233064471,-0.5609156082781651,837.5894812798547,967.9212468340644,1048.6133839795184,1402.5589786045548,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
35,35,35,35,35,"A Black man, Floyd died in police custody May 25 after a Minneapolis cop kneeled on his neck for more than eight minutes.",https://feeds.feedblitz.com/~/632383174/0/alternet_all~Navy-launches-probe-after-Kaepernick-jersey-used-in-dog-attack-demonstration/,Alternet,black lives matter,left,Non-biased,Entirely factual,[],1400.0710090869168,1464.033850189203,non-biased,non-biased,35.966149810797106,99.92899091308324,non-biased,non-biased,no,0.0,1499.0,-4.381023827594619,-3.0505146560107,-3.3674775695873973,-4.674513806263799,738.9382106355974,970.0713271718228,915.009229438088,687.9537793436263,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
36,36,36,36,36,A Black policewoman was injured and at least four people stabbed when a day of demonstrations in support of President Donald Trump's election delusions ended in violence Saturday night in Washington D.C. ,https://www.alternet.org/2020/12/proud-boys/,Alternet,black lives matter,left,Non-biased,Entirely factual,[],1670.5586211749423,1550.6395059854267,biased,biased,50.639505985426695,170.55862117494237,biased,biased,yes,0.65,1824.0,3.27109835015524,3.3879756269873287,3.509308525912381,6.351630730002648,2068.2479852941005,2088.5516478493228,2109.629331239913,2603.391270850909,-0.200473712511822,biased,biased,biased,biased,biased,non-biased,biased
37,37,37,37,37,"A bold statement Wednesday from former Secretary of Defense Gen. James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus, sending members fleeing in all different directions.",https://www.alternet.org/2020/06/republicans-are-reeling-as-trump-comes-under-fire/,Alternet,trump-presidency,left,Biased,Somewhat factual but also opinionated,"['eviscerating', 'bomb']",1627.240138867974,1557.2330264774753,biased,biased,57.23302647747528,127.24013886797412,biased,biased,yes,0.5,1749.0,2.493938498598568,2.9644094813232784,2.571763286048929,3.3787697237661987,1933.241491258976,2014.9706719361525,1946.7610415569693,2086.952418661374,1.0,biased,biased,biased,biased,biased,biased,biased
38,38,38,38,38,"A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.",https://www.nbcnews.com/news/us-news/priest-rhode-island-says-abortion-worse-pedophilia-which-doesn-t-n1135751?cid=public-rss_20200212,MSNBC,abortion,left,Non-biased,Somewhat factual but also opinionated,[],1779.0011004264038,1569.1444988485034,biased,biased,69.14449884850342,279.0011004264038,biased,biased,yes,0.85,1924.0,7.193727021652644,6.1745166892335,7.03056644675485,6.419887759673215,2749.6783799288232,2572.623410621458,2721.334484991913,2615.2487313857227,-0.200473712511822,biased,biased,biased,biased,biased,non-biased,biased
39,39,39,39,39,"A city council member in Minneapolis was quoted as claiming that there had been no looting or burning on the first night of the protest, and that police were to blame for subsequent events because they were “incredibly brutal” in response.",http://feedproxy.google.com/~r/breitbart/~3/B0iqqthw_uw/,Breitbart,black lives matter,right,Biased,Entirely factual,['claiming'],1467.8695729256476,1491.4681605570102,non-biased,non-biased,8.531839442989849,32.13042707435238,non-biased,non-biased,no,0.2,1599.0,-1.0129875666037271,-1.6851075466100616,-1.2343804250137382,-1.635127218665439,1324.0260358349594,1207.2668364374897,1285.566157138857,1215.9493086895152,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,biased,non-biased
