,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,elo_scores_10_listwise,elo_scores_5nano_24,label_10_listwise,label_5nano_24,elo_5nano_distance,elo_10_distance,label_5nano_binary,label_10_binary,baseline_labels,baseline_severity,baseline_elo,bt_10listwise_4rounds,bt_10listwise_6rounds,bt_10listwise_10rounds_k64,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32,bt_10listwise_4rounds_elo,bt_10listwise_6rounds_elo,bt_10listwise_10rounds_k64_elo,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32_elo,fleiss_kappa,bt_10listwise_4rounds_elo_label,bt_10listwise_6rounds_elo_label,bt_10listwise_10rounds_k64_elo_label,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32_elo_label,BT_listwise_pred_label_EM,label_bias_lower,BT_5nano24r_pred_label_EM,5mini_baseline_contin,5baseline_contin_bias,10listwise3_bt,10listwise3_elo,10listwise3_theta,10listwise3_nano_bt,10listwise3_nano_theta,10listwise3_nano_elo
10,10,10,10,10,10,‘Gangster capitalist’ Trump is running a ‘mafia state’ — and things are about to get worse: Pulitzer Prize-winning journalist,https://www.alternet.org/2020/07/gangster-capitalist-trump-is-running-a-mafia-state-and-things-are-about-to-get-worse-pulitzer-prize-winning-journalist/,Alternet,black lives matter,left,Biased,Somewhat factual but also opinionated,"['Gangster', 'mafia', 'state', 'capitalist']",1951.0301837424688,1645.6333747805306,biased,biased,145.63337478053063,451.0301837424688,biased,biased,yes,0.75,1874.0,9.421293779974274,7.407955537479657,7.669521691685227,10.072038349954845,3136.6463604129026,2786.893684844821,2832.3323798144747,3249.6922707613294,1.0,biased,biased,biased,biased,biased,biased,biased,0.95,biased,0.9567472778876799,1770.0677379602298,13.270013415595095,0.936278091570111,12.15923247461549,1729.882499995886
11,11,11,11,11,11,‘The most progressive president since FDR’: Biden's policy proposals reveal a pleasant surprise,https://feeds.feedblitz.com/~/629983109/0/alternet_all~%e2%80%98The-most-progressive-president-since-FDR%e2%80%99-Biden%e2%80%99s-policy-proposals-reveal-a-pleasant-surprise/,Alternet,universal health care,left,Non-biased,Expresses writer’s opinion,['pleasant'],1534.6594565350133,1522.045513884908,biased,biased,22.045513884907905,34.659456535013305,biased,biased,yes,0.65,1824.0,1.8839518867957912,1.5112338395785254,1.381696375990738,1.827689473440497,1827.2759634426527,1762.528206957767,1740.0252447033993,1817.502181179147,-0.200473712511822,biased,biased,biased,biased,non-biased,non-biased,non-biased,0.9,biased,0.6945897101611237,1513.9929841534547,2.06276421755981,0.7525669777132417,4.351820596320774,1649.323829655955
12,12,12,12,12,12,"‘Woke’ is not a dirty word but a moral duty, says a senior BBC editor, defending the corporation’s decision to ‘repurpose’ classic novels by giving them more black, female and Asian characters even when this is historically inaccurate.",https://www.breitbart.com/europe/2020/02/25/going-woke-is-a-moral-duty-claims-bbc-head-of-drama/,Breitbart,marriage-equality,,Non-biased,Entirely factual,[],1568.527428243662,1519.6829612112963,biased,biased,19.682961211296288,68.52742824366214,biased,biased,yes,0.75,1874.0,0.5550615861032977,1.3794685760295988,2.290089016919968,2.6640899562465314,1596.4240735844514,1739.6382362114364,1897.8292092462336,1962.7998269166976,1.0,biased,biased,biased,biased,biased,non-biased,non-biased,0.75,biased,0.7484030773834038,1641.0832099047227,4.363288371318137,0.7118666270625797,2.622124474787752,1542.3152351002232
13,13,13,13,13,13,“Harry Potter” author J.K. Rowling said on Monday she had recovered from a suspected case of COVID-19 after two weeks of illness.,https://www.reuters.com/article/us-health-coronavirus-jkrowling/harry-potter-author-j-k-rowling-says-fully-recovered-from-likely-coronavirus-idUSKBN21O2KU?feedType=RSS&feedName=peopleNews,Reuters,blm,,Non-biased,Entirely factual,[],1149.460753355496,1265.8984112812216,non-biased,non-biased,234.10158871877843,350.53924664450415,non-biased,non-biased,no,0.0,1499.0,-7.436355141696115,-6.131696634869808,-5.9375263897129145,-11.96614068866834,208.1727985954012,434.8151947085216,468.5460211170978,-578.731548306655,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.0,non-biased,0.0,1207.2375765508816,-27.63098080637323,0.0,-27.631004164017025,1162.063759086972
14,14,14,14,14,14,"“He won because the Election was Rigged,” Trump wrote, not referring to Biden by name, adding a list of complaints about vote counting.",https://www.reuters.com/article/us-usa-election/trump-concedes-nothing-on-election-biden-team-to-meet-vaccine-makers-idUSKBN27V04W,Reuters,vaccine,,Non-biased,Entirely factual,[],1323.2693797630036,1490.0644834786733,non-biased,non-biased,9.93551652132669,176.7306202369964,non-biased,non-biased,yes,0.35,1674.0,-1.5400914903235907,-0.8656391785868135,-0.4103628050337353,-1.8478251539979125,1232.4587056505236,1349.6230725681933,1428.7126792782035,1178.9998928386722,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.05,non-biased,0.5705921867718936,1485.2972480368096,-3.238136140242598,0.7771622201095294,5.397076833697477,1513.8899488057493
15,15,15,15,15,15,"“I would shut it down; I would listen to the scientists,” Biden told ABC News alongside his new vice presidential running mate, California Sen. Kamala Harris.",https://thefederalist.com/2020/08/22/biden-i-will-shut-down-nation-in-january-if-scientists-tell-me-to/,Federalist,vaccine,,Non-biased,Entirely factual,[],1302.8171143311931,1452.9345197696937,non-biased,non-biased,47.06548023030632,197.18288566880688,non-biased,non-biased,no,0.0,1499.0,-3.218484233780718,-3.174316461982688,-4.162169948547454,-7.281689302293835,940.8920228705674,948.564750698506,776.9570234409196,235.04100683193903,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.0,non-biased,0.38417675810419677,1405.6072017430495,-11.207405086224723,0.10620669221290989,-23.11739922782629,1185.7048853263177
16,16,16,16,16,16,"“Mike Pence and the task force have done a great job,” Trump said during a visit to a mask factory in Arizona.",https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews,Reuters,vaccine,,Non-biased,Entirely factual,[],1469.8170486338413,1455.489560551565,non-biased,non-biased,44.51043944843491,30.182951366158704,non-biased,non-biased,yes,0.25,1624.0,0.2471029734990738,-1.6174651122840198,-0.6917691247829325,-5.4877170025932696,1542.926183141013,1219.0175308256107,1379.827394542292,546.685915010836,1.0,biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.05,non-biased,0.3774585731656205,1350.4459119542298,-11.49460783004803,0.6074690160433031,-1.8145975679108863,1378.4994109095403
17,17,17,17,17,17,"“She will be inheriting a government in crisis,” the post states, touting a plethora of false narratives routinely peddled by Trump’s critics.",https://www.breitbart.com/politics/2020/01/23/elizabeth-warren-vows-to-fill-half-her-cabinet-positions-with-women-and-non-binary-people/,Breitbart,marriage-equality,,Biased,Somewhat factual but also opinionated,[],1648.9283588539636,1553.1244202729972,biased,biased,53.12442027299721,148.92835885396357,biased,biased,yes,0.55,1774.0,3.2757904471383785,1.7068469784839264,2.5375412920369302,2.232178003901093,2069.063086025433,1796.509689683523,1940.8160722933148,1887.769035888024,1.0,biased,biased,biased,biased,biased,biased,non-biased,0.8,biased,0.7826056498601195,1541.3648301102057,5.8254500639389475,0.6871471403796984,1.571588065196117,1514.3037490264019
18,18,18,18,18,18,"“The goal is to send a message of peace,” the 22-year-old claimed. He insisted that the original idea was to show a man stealing inexpensive goods and showing a similar scenario to George Floyd’s death, with a police officer on the thief’s neck.",http://feedproxy.google.com/~r/breitbart/~3/KernUHEqyEk/,Breitbart,black lives matter,right,Non-biased,Somewhat factual but also opinionated,['claimed'],1333.682756256338,1491.9334828208189,non-biased,non-biased,8.066517179181119,166.31724374366195,non-biased,non-biased,no,0.0,1499.0,-3.033181768872797,-2.454404554553576,-3.39363691538096,-2.3530331349529097,973.0823580676,1073.6262582396691,910.4648856267504,1091.2362775017766,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.05,non-biased,0.45820042619324053,1326.6215446800802,-8.042889554512575,0.5836564140651741,-2.8265929101306018,1487.799245588684
19,19,19,19,19,19,"“We can’t keep our country closed for the next five years,” Trump said, when asked why it was time to wind down the task force.",https://www.reuters.com/article/us-health-coronavirus-usa-task-force/white-house-to-wind-down-coronavirus-task-force-as-focus-shifts-to-aftermath-trump-idUSKBN22H2KJ?feedType=RSS&feedName=topNews,Reuters,vaccine,,Non-biased,Entirely factual,[],1449.4946476416414,1398.6644873712414,non-biased,non-biased,101.33551262875858,50.50535235835855,non-biased,non-biased,no,0.0,1499.0,-3.803224942348284,-2.7529599228783788,-3.582230935288397,-6.490579744526663,839.3121576405309,1021.7618786372474,877.7027487604497,372.4708130396209,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.0,non-biased,0.3417592326680802,1346.8802141282117,-13.020756430796276,0.4811735677859598,-7.181940687212688,1323.8362835408493
20,20,20,20,20,20,"“You know, there’s over 100 million people with preexisting conditions,” he said, claiming, “They weren’t able to get insurance before; now they cannot be denied insurance.”",http://feedproxy.google.com/~r/breitbart/~3/hmjqwWAvPXQ/,Breitbart,universal health care,right,Biased,Somewhat factual but also opinionated,['claiming'],1356.4568666044229,1457.080572923646,non-biased,non-biased,42.91942707635394,143.54313339557734,non-biased,non-biased,no,0.0,1499.0,-3.4278608019530696,-3.751706552793036,-2.585045960900401,-4.743935003448218,904.5195875917306,848.2618185606855,1050.9315214858666,675.894082197902,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,biased,non-biased,0.2,non-biased,0.43239091832303267,1429.6633057451395,-9.146247313315781,0.5262613850125315,-5.265784650755485,1429.8864971181508
21,21,21,21,21,21,23 people were arrested for offences including assaulting police officers at the Antifa and Black Lives Matter demonstrations in London on Sunday.,https://www.breitbart.com/europe/2020/06/01/23-arrested-london-black-lives-matter-protests-police-assaulted/,Breitbart,black lives matter,right,Non-biased,Entirely factual,[],1484.4121109900516,1462.8822764437691,non-biased,non-biased,37.117723556230885,15.587889009948412,non-biased,non-biased,no,0.0,1499.0,-3.1791337442704384,-3.0197136302199707,-2.339678186307668,-5.1551332130736345,947.72790305237,975.422013386972,1093.5562697028686,604.461636834376,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.15,non-biased,0.539409592046178,1540.6096446300212,-4.571193632204656,0.4402674558055844,-8.92038131753438,1296.624431010163
22,22,22,22,22,22,"A 10-hour hearing broadcast on the court’s website showed Sun, China's greatest ever swimmer, and one of its biggest sports stars, to be evasive at times under questioning that was hampered by severe translation issues between Chinese and English.",https://www.foxnews.com/sports/olympic-swimming-sun-yang-banned-doping,Fox News,sport,right,Non-biased,Somewhat factual but also opinionated,[],1526.1406139879098,1467.5632157135592,biased,non-biased,32.4367842864408,26.140613987909774,non-biased,biased,no,0.0,1499.0,-3.333180239384688,-1.4812504428412712,-2.4137036131240697,-2.0900283203272565,920.967285938508,1242.680442542915,1080.69673594811,1136.9248933841402,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.2,non-biased,0.5305939673632296,1406.0294439766976,-4.948062030530678,0.6604726559785732,0.4379675564064969,1435.6816257103476
23,23,23,23,23,23,"A 16-time NBA All Star who is considered one of the greatest basketball players of all time, James, 35, reacted angrily this week to the shooting of Blake in Kenosha, Wisconsin, which sparked days of civil unrest.",https://www.reuters.com/article/us-usa-election-james/nba-star-lebron-james-emerges-as-potent-political-force-ahead-of-november-u-s-election-idUSKBN25O1B10,Reuters,black lives matter,center,Non-biased,Entirely factual,[],1403.84546361614,1470.3956662615692,non-biased,non-biased,29.6043337384308,96.15453638385998,non-biased,non-biased,no,0.0,1499.0,-7.146328853759779,-3.183318221084743,-4.086556273615002,-3.152567584130028,258.5555251784549,947.000984976328,790.0924641527558,952.3429177541052,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.12,non-biased,0.6012405151940068,1478.4047979412846,-1.9279185596152093,0.5215082113284022,-5.467786499756202,1377.0781649927906
24,24,24,24,24,24,"A 24-year-old woman in Uganda, unable to travel due to coronavirus restrictions, was burned by her Muslim father for purportedly converting to Christianity, according to a persecution watchdog group.",https://www.foxnews.com/world/coronavirus-persecution-islam-christianity-conversion-uganda,Fox News,islam,,Non-biased,Entirely factual,[],1227.8253009979092,1557.0112966124946,non-biased,biased,57.01129661249456,272.17469900209085,biased,non-biased,yes,0.4,1699.0,-1.225190881776522,-2.170956803184694,-1.3131086658088729,0.8170344523706146,1287.1625443065109,1122.8661759706254,1271.8896609199462,1641.933421675761,1.0,non-biased,non-biased,non-biased,biased,non-biased,non-biased,non-biased,0.1,non-biased,0.770021778733638,1487.3763236768882,5.287488940735583,0.672737206352327,0.9591902209459598,1488.8450647321824
25,25,25,25,25,25,"A 60-foot chunk of the Ocean Cleanup device, deployed with much fanfare in the Great Pacific Garbage Patch in October, has broken off and the entire plastic collection system will now be towed back to port for an overhaul and upgrade.",https://eu.usatoday.com/story/news/2019/01/02/ocean-cleanup-device-great-pacific-garbage-patch-breaks/2465082002/,USA Today,environment,center,Non-biased,Entirely factual,['fanfare'],1153.4141491434884,1491.287241163679,non-biased,non-biased,8.712758836320972,346.5858508565116,non-biased,non-biased,no,0.05,1524.0,-4.275342481302692,-4.306817032948519,-4.77609586781307,-3.352001818304609,757.2969408494737,751.8292512094091,670.3071678271443,917.6976427922568,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.0,non-biased,0.5283157076037159,1403.6978843042202,-5.045457749769872,0.5210486222714523,-5.487318257998983,1375.6295002412905
26,26,26,26,26,26,"A 70% majority of Americans view the economy as unfairly favoring those with power, and large majorities also say politicians, giant corporations, and wealthy individuals wield too much power over the economy, according to Pew Research Center.",https://www.alternet.org/2020/01/70-percent-of-americans-say-us-economic-system-unfairly-benefits-the-powerful/,Alternet,middle-class,left,Non-biased,Entirely factual,[],1338.812192310343,1467.725732017572,non-biased,non-biased,32.274267982428,161.1878076896567,non-biased,non-biased,no,0.0,1499.0,-1.487878630136108,-3.323746059908721,-3.2123202149975656,-3.6971038114883847,1241.5290084760477,922.606170773587,941.962822608116,857.7472862588457,0.1996841916587852,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.0,non-biased,0.3501673465593888,1399.4376828728984,-12.661309139296966,0.42993224724517165,-9.359610215477309,1429.8864971181508
27,27,27,27,27,27,A Biden victory would be a victory for radical anti-Americanism.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['radical', 'anti-Americanism']",1867.3123879703992,1569.1566053784118,biased,biased,69.15660537841177,367.3123879703992,biased,biased,yes,0.7,1849.0,7.802093665374827,6.708291961398559,5.90027121614372,7.685264658482078,2855.3624904658413,2665.3496727325346,2524.9820923615225,2835.0672132579384,1.0,biased,biased,biased,biased,biased,biased,biased,0.95,biased,0.9271687453356795,1675.8378391687095,12.005529662189845,0.8649199113894142,9.126630407925472,1677.2993158306056
28,28,28,28,28,28,A Biden victory would be a victory for violence in the streets reinforced by an anti-police and pro-criminal bias.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['anti-police', 'pro-criminal']",1838.4026045669696,1652.873393556875,biased,biased,152.87339355687504,338.4026045669698,biased,biased,yes,0.8,1899.0,7.917205695752018,6.832833192177445,5.825123532923848,8.695766943001097,2875.359498303239,2686.9847004512185,2511.927602701441,3010.609439704834,1.0,biased,biased,biased,biased,biased,biased,biased,0.95,biased,0.9191921621649657,1621.2038268494882,11.664530330687468,0.8727633808867229,9.459964606574122,1703.915976307172
29,29,29,29,29,29,"A Biden victory would ensure government-imposed thought-police courses that are anti-history, anti-free thought, anti-White, and anti-male.",https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,"['anti-history', 'anti-free', 'anti-White', 'anti-male']",1893.1918275467551,1675.9810023393466,biased,biased,175.98100233934656,393.1918275467551,biased,biased,yes,0.92,1959.0,9.454458942277697,8.586721108687707,7.969451291165886,10.885529479972693,3142.4077392048234,2991.6662380580974,2884.435487820036,3391.010154298926,1.0,biased,biased,biased,biased,biased,biased,biased,0.95,biased,0.9801841532347416,1809.2883031751524,14.27194101477004,0.9485763708928436,12.681888562486671,1702.3350614838714
30,30,30,30,30,30,A Biden victory would mean massive tax increases which would propel America into a depression.,https://www.foxnews.com/opinion/newt-gingrich-undecided-voters-trump-future-country,Fox News,islam,,Biased,Expresses writer’s opinion,[],1632.4231042909723,1551.1962880333856,biased,biased,51.1962880333856,132.42310429097233,biased,biased,yes,0.8,1899.0,3.0014171924608264,3.203850648716516,3.896359111346452,4.60437532648284,2021.399569830115,2056.5658630318944,2176.866904628489,2299.861918761192,-0.200473712511822,biased,biased,biased,biased,biased,biased,biased,0.95,biased,0.8681907030877719,1665.3842128516249,9.484215391476168,0.8154909711256366,7.025983978621235,1647.6670830586806
31,31,31,31,31,31,A bill proposed by a group of Republican lawmakers on Wednesday that would have amended the Iowa Civil Rights Act by removing protections against discrimination for transgender people is dead,https://www.nbcnews.com/feature/nbc-out/iowa-republicans-try-ax-transgender-protections-state-law-n1126426?cid=public-rss_20200130,MSNBC,gender,left,Non-biased,Entirely factual,[],1141.337350699288,1417.8113335508835,non-biased,non-biased,82.18866644911645,358.662649300712,non-biased,non-biased,no,0.0,1499.0,-3.6606863162792687,-5.606999220797264,-4.879189741882184,-7.538806774597817,864.0736531444686,525.9644713487662,652.3979275766465,190.3751270629264,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.0,non-biased,0.5489411413273156,1487.341222944254,-4.163719421319065,0.39572356323977265,-10.813421475108925,1359.5907991513093
32,32,32,32,32,32,"A bipartisan group of lawmakers in Mississippi this week began to draft a resolution to change the state’s flag, as calls have grown to remove the Confederate battle emblem, according to a report.",https://www.foxnews.com/politics/mississippi-lawmakers-drafting-resolution-to-remove-confederate-emblem-from-state-flag-report?fbclid=IwAR3pY02A9gmhojpn6_17OTiwadtQLyGdNG286BB6hE7IAAKRAF8cQ9D6Cxg,Fox News,marriage-equality,,Non-biased,Entirely factual,[],1408.8434883950072,1360.7364584216175,non-biased,non-biased,139.2635415783825,91.15651160499284,non-biased,non-biased,no,0.0,1499.0,-5.292444012181946,-4.565036666269439,-4.433721501517457,-8.279287313711864,580.6083078909897,706.9719064612665,729.7836870380673,61.740482225336336,1.0,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,0.0,non-biased,0.3807367554258063,1354.753585370558,-11.35446537364257,0.46646516960361284,-7.807022753663021,1424.3814141463597
